measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,East Asia,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1990,908.9343442940306,1540.3547389547482,483.1810070491782
Deaths,East Asia,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1990,0.07465948915624183,0.12652409786438423,0.03968828703937784
Deaths,East Asia,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1990,0.08239146503653215,0.1371396694313512,0.04401484454555069
Deaths,Southeast Asia,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1990,1873.2276111861208,2934.316891222786,1045.503357632246
Deaths,Southeast Asia,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1990,0.402405887168307,0.6303485944763461,0.22459454668141032
Deaths,Southeast Asia,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1990,0.4303488813106809,0.6554442857828187,0.24370767337612065
Deaths,Central Europe,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1990,59.56339624270101,68.89186570831566,51.25778281952698
Deaths,Central Europe,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1990,0.04761567332414148,0.055072960562750975,0.040976069129930986
Deaths,Central Europe,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1990,0.05183188596556148,0.059438836161796876,0.045051078876188845
Deaths,Oceania,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1990,16.107231589714164,27.078517007336014,8.666388956311101
Deaths,Oceania,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1990,0.24591389722935764,0.4134157760988401,0.13231233879525703
Deaths,Oceania,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1990,0.2615375120370707,0.42879409687722286,0.14073366534581658
Deaths,Eastern Europe,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1990,36.64355017749374,56.10414216536404,23.701864560980017
