measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,44635,High SDI,1,Male,1,<5 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,5.006935231283791,7.510532516271648,3.2530274722907557
1,Deaths,44635,High SDI,2,Female,1,<5 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,3.331159154951626,5.084223619639553,2.1480964950239643
1,Deaths,44635,High SDI,3,Both,1,<5 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,8.338094386235413,12.322686221237406,5.441468961137416
1,Deaths,44635,High SDI,1,Male,1,<5 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.018129378020211216,0.02719453654399775,0.011778735300350559
1,Deaths,44635,High SDI,2,Female,1,<5 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.012700579392371588,0.019384419274539485,0.008189962955379469
1,Deaths,44635,High SDI,3,Both,1,<5 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.015485018485253597,0.022884968085614774,0.0101055761121205
1,Deaths,44635,High SDI,1,Male,6,5-9 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,2.8317527135583735,5.509362823264877,1.1862305303776877
1,Deaths,44635,High SDI,2,Female,6,5-9 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,2.3915303432271466,4.705254539887422,1.023691726352839
1,Deaths,44635,High SDI,3,Both,6,5-9 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,5.223283056785522,10.127678991387285,2.2676592773128825
1,Deaths,44635,High SDI,1,Male,6,5-9 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.009399480455097349,0.018287312987949784,0.003937473294238966
1,Deaths,44635,High SDI,2,Female,6,5-9 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.008368024397115412,0.016463803144259884,0.0035819229162220726
1,Deaths,44635,High SDI,3,Both,6,5-9 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.008897345360363462,0.017251498091456048,0.0038627329843199418
1,Deaths,44635,High SDI,1,Male,7,10-14 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,2.4196607783826813,4.982784009554879,0.9072644133385637
1,Deaths,44635,High SDI,2,Female,7,10-14 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,2.1220979241779463,4.3197118076767875,0.8234499340411514
1,Deaths,44635,High SDI,3,Both,7,10-14 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,4.541758702560626,9.393119258415226,1.7631932456260808
1,Deaths,44635,High SDI,1,Male,7,10-14 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.007852550594224203,0.0161706813966188,0.0029443547507688925
1,Deaths,44635,High SDI,2,Female,7,10-14 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.007274798020315764,0.014808473515186682,0.0028228819611669335
1,Deaths,44635,High SDI,3,Both,7,10-14 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.0075715875118508415,0.015659313744308935,0.002939427837070121
1,Deaths,44635,High SDI,1,Male,8,15-19 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,2.191111391729371,5.007143209726767,0.8082802604370918
1,Deaths,44635,High SDI,2,Female,8,15-19 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,1.7237015856094013,3.7970739179499367,0.6164588836589016
1,Deaths,44635,High SDI,3,Both,8,15-19 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,3.9148129773387716,8.804885158349038,1.4223956678991079
1,Deaths,44635,High SDI,1,Male,8,15-19 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.00704663862478782,0.016103028296364525,0.0025994383144319197
1,Deaths,44635,High SDI,2,Female,8,15-19 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.0059250316170932965,0.013052017358526576,0.002119008537678929
1,Deaths,44635,High SDI,3,Both,8,15-19 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.006504494616578523,0.014629390584835972,0.002363322339547293
1,Deaths,44635,High SDI,1,Male,9,20-24 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,2.8099545151443523,6.135275533937362,1.1701017267327962
1,Deaths,44635,High SDI,2,Female,9,20-24 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,2.1984640777256286,5.00213459827467,0.7714849283975741
1,Deaths,44635,High SDI,3,Both,9,20-24 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,5.008418592869981,11.137092569857982,1.9782961388499354
1,Deaths,44635,High SDI,1,Male,9,20-24 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.008293680954495146,0.018108484522491395,0.00345359697230798
1,Deaths,44635,High SDI,2,Female,9,20-24 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.006974016378989132,0.015867882023510353,0.002447321555671748
1,Deaths,44635,High SDI,3,Both,9,20-24 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.007657627538711977,0.01702807087361655,0.003024718224261669
1,Deaths,44635,High SDI,1,Male,10,25-29 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,2.8566556183399907,6.376115289611433,1.1972665086975938
1,Deaths,44635,High SDI,2,Female,10,25-29 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,2.191378251628091,4.756299436769078,0.9138113022226028
1,Deaths,44635,High SDI,3,Both,10,25-29 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,5.048033869968083,10.927730990797876,2.0878290554263352
1,Deaths,44635,High SDI,1,Male,10,25-29 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.007757598656789338,0.017315123002109304,0.0032513240308219334
1,Deaths,44635,High SDI,2,Female,10,25-29 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.006340948951161334,0.013762777787259272,0.0026441947272602528
1,Deaths,44635,High SDI,3,Both,10,25-29 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.007071747246628862,0.015308564390944633,0.00292482177308297
1,Deaths,44635,High SDI,1,Male,11,30-34 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,3.193252807354795,6.207526242968856,1.6126845693587997
1,Deaths,44635,High SDI,2,Female,11,30-34 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,2.1226762862477173,4.504375878877001,0.9294017401027668
